Date,MKT_RF,SMB,HML,RMW,CMA,RF,MOM
2010-01-04,0.01690,0.00790,0.01140,-0.00170,0.00210,0.00000,0.00580
2010-01-05,0.00310,-0.00420,0.01220,-0.00180,0.00190,0.00000,0.00620
2010-01-06,0.00130,-0.00140,0.00550,-0.00050,0.00200,0.00000,-0.00050
2010-01-07,0.00400,0.00250,0.00960,-0.00660,0.00220,0.00000,-0.00870
2010-01-08,0.00330,0.00310,0.00020,0.00230,-0.00400,0.00000,0.00200
2010-01-11,0.00130,-0.00140,-0.00260,0.00180,0.00580,0.00000,-0.00480
2010-01-12,-0.01000,-0.00360,-0.01280,0.00520,-0.00030,0.00000,-0.01230
2010-01-13,0.00850,0.00320,0.00310,-0.00340,0.00090,0.00000,0.00380
2010-01-14,0.00240,0.00250,0.00080,-0.00300,-0.00020,0.00000,-0.00110
2010-01-15,-0.01120,-0.00190,-0.00390,0.00620,-0.00150,0.00000,-0.00520
2010-01-19,0.01270,0.00460,-0.00200,-0.00150,-0.00030,0.00000,0.00050
2010-01-20,-0.00980,-0.00530,0.00220,-0.00550,-0.00140,0.00000,-0.00540
2010-01-21,-0.01740,0.00130,-0.01090,-0.00030,-0.00450,0.00000,-0.01000
2010-01-22,-0.02140,0.00490,-0.00900,0.00470,-0.00010,0.00000,-0.01580
2010-01-25,0.00370,-0.00220,0.00340,0.00080,0.00110,0.00000,0.00550
2010-01-26,-0.00450,-0.00240,-0.00450,0.00300,-0.00070,0.00000,-0.00010
2010-01-27,0.00530,0.00270,0.00200,-0.00880,-0.00010,0.00000,-0.00170
2010-01-28,-0.01180,-0.00510,0.00420,-0.00030,0.00050,0.00000,-0.00650
2010-01-29,-0.00970,-0.00090,-0.00420,-0.00210,0.00190,0.00000,-0.01240
2010-02-01,0.01390,-0.00140,0.00890,-0.00140,0.00680,0.00000,0.01370
2010-02-02,0.01210,-0.00280,0.00640,0.00290,0.00680,0.00000,0.00460
2010-02-03,-0.00490,0.00010,-0.00370,0.00170,-0.00090,0.00000,0.00220
2010-02-04,-0.03140,-0.00320,-0.01190,0.00450,-0.00050,0.00000,-0.01540
2010-02-05,0.00290,-0.00030,0.00010,-0.00650,-0.00150,0.00000,0.00050
2010-02-08,-0.00790,-0.00060,-0.00380,0.00150,0.00140,0.00000,0.00000
2010-02-09,0.01330,0.00360,0.00570,0.00310,0.00400,0.00000,0.00880
2010-02-10,-0.00170,0.00300,0.00300,-0.00500,-0.00070,0.00000,0.00230
2010-02-11,0.01130,0.00670,0.00060,0.00040,-0.00180,0.00000,0.00900
2010-02-12,-0.00080,0.00960,0.00140,-0.00210,0.00250,0.00000,0.00520
2010-02-16,0.01750,-0.00130,0.01020,0.00010,0.00090,0.00000,0.00900
2010-02-17,0.00490,0.00160,0.00100,0.00210,-0.00060,0.00000,0.00000
2010-02-18,0.00620,0.00090,0.00020,0.00240,-0.00130,0.00000,0.00080
2010-02-19,0.00280,0.00090,0.00490,-0.00240,-0.00010,0.00000,-0.00190
2010-02-22,-0.00050,0.00010,0.00600,-0.00750,-0.00120,0.00000,0.00150
2010-02-23,-0.01240,0.00180,-0.00940,0.00330,-0.00020,0.00000,-0.01030
2010-02-24,0.00940,-0.00270,0.00550,-0.00250,0.00010,0.00000,0.00520
2010-02-25,-0.00130,0.00250,0.00270,0.00140,0.00040,0.00000,0.00480
2010-02-26,0.00120,-0.00420,0.00400,0.00110,-0.00040,0.00000,0.00410
2010-03-01,0.01200,0.01190,0.00050,0.00080,0.00510,0.00000,0.01160
2010-03-02,0.00320,0.00620,0.00170,-0.00180,-0.00070,0.00000,0.00130
2010-03-03,0.00090,0.00140,0.00090,0.00060,0.00290,0.00000,0.00060
2010-03-04,0.00370,0.00170,0.00200,-0.00010,0.00240,0.00000,0.00380
2010-03-05,0.01430,0.00520,0.00620,-0.00180,0.00260,0.00000,0.00870
2010-03-08,0.00020,0.00140,0.00300,-0.00170,0.00120,0.00000,0.00110
2010-03-09,0.00210,0.00260,-0.00090,-0.00010,0.00020,0.00000,0.00400
2010-03-10,0.00540,0.00170,0.00710,-0.00490,0.00300,0.00000,0.00410
2010-03-11,0.00430,-0.00060,-0.00090,-0.00200,0.00130,0.00000,-0.00080
2010-03-12,-0.00020,0.00010,-0.00250,0.00530,-0.00050,0.00000,0.00280
2010-03-15,-0.00020,-0.00360,-0.00500,0.00170,-0.00130,0.00000,-0.00660
2010-03-16,0.00790,-0.00080,0.00570,-0.00170,0.00190,0.00000,0.00320
2010-03-17,0.00570,0.00080,0.00370,-0.00120,0.00070,0.00000,0.00080
2010-03-18,-0.00100,-0.00250,-0.00590,0.00110,0.00070,0.00000,-0.00520
2010-03-19,-0.00610,-0.00650,-0.00620,0.00050,-0.00480,0.00000,-0.01520
2010-03-22,0.00670,0.00840,0.00030,0.00120,0.00090,0.00000,0.00870
2010-03-23,0.00800,0.00380,0.00340,-0.00020,0.00120,0.00000,0.00840
2010-03-24,-0.00600,-0.00490,0.00790,-0.00390,0.00060,0.00000,0.00410
2010-03-25,-0.00260,-0.00480,-0.00260,-0.00130,-0.00040,0.00000,-0.00160
2010-03-26,0.00060,-0.00080,0.00270,0.00040,0.00130,0.00000,0.00350
2010-03-29,0.00590,-0.00050,0.00200,0.00260,0.00130,0.00000,0.00160
2010-03-30,0.00040,0.00220,-0.00430,0.00320,-0.00220,0.00000,-0.00120
2010-03-31,-0.00360,-0.00450,0.00200,-0.00230,-0.00080,0.00000,-0.00140
2010-04-01,0.00750,0.00070,0.00790,0.00130,0.00370,0.00001,0.00630
2010-04-05,0.00950,0.01130,0.00850,-0.00150,0.00320,0.00001,0.01020
2010-04-06,0.00190,0.00350,0.00470,-0.00250,-0.00120,0.00001,0.00240
2010-04-07,-0.00480,0.00200,0.00270,-0.00090,0.00180,0.00001,-0.00430
2010-04-08,0.00310,-0.00230,0.00350,-0.00050,0.00220,0.00001,0.00260
2010-04-09,0.00660,-0.00160,0.00170,0.00240,0.00210,0.00001,0.00080
2010-04-12,0.00230,0.00330,0.00070,0.00010,0.00220,0.00001,-0.00130
2010-04-13,0.00070,0.00110,-0.00060,0.00120,0.00040,0.00001,0.00140
2010-04-14,0.01240,0.01040,0.01430,-0.01130,0.00520,0.00001,0.00900
2010-04-15,0.00110,0.00540,-0.00030,0.00190,-0.00210,0.00001,0.00200
2010-04-16,-0.01530,0.00490,-0.01870,0.01040,-0.00240,0.00001,-0.00800
2010-04-19,0.00280,-0.00890,-0.00040,-0.00090,0.00210,0.00001,-0.00620
2010-04-20,0.00880,0.00750,0.00590,-0.00170,-0.00030,0.00001,0.00410
2010-04-21,-0.00060,0.00710,0.00190,0.00400,-0.00170,0.00001,0.00610
2010-04-22,0.00370,0.00850,0.00530,-0.00090,0.00130,0.00001,0.00990
2010-04-23,0.00700,0.00370,0.00600,-0.00060,0.00170,0.00001,0.00250
2010-04-26,-0.00430,0.00380,-0.00380,0.00750,0.00290,0.00001,0.00330
2010-04-27,-0.02340,-0.00050,-0.01360,0.00470,-0.00660,0.00001,-0.01280
2010-04-28,0.00560,-0.00590,0.00700,-0.00570,0.00340,0.00001,0.00040
2010-04-29,0.01340,0.00530,0.00540,-0.00540,0.00480,0.00001,0.00920
2010-04-30,-0.01720,-0.01090,-0.00860,0.00370,-0.00540,0.00001,-0.01110
2010-05-03,0.01360,0.00760,0.00590,-0.00210,0.00390,0.00001,0.00770
2010-05-04,-0.02500,-0.00630,-0.00920,0.00260,-0.00210,0.00001,-0.00950
2010-05-05,-0.00750,-0.00820,-0.00600,0.00080,-0.00460,0.00001,-0.00560
2010-05-06,-0.03270,-0.00380,-0.00910,0.00800,-0.00340,0.00001,-0.00870
2010-05-07,-0.01750,-0.01340,-0.00510,0.00220,-0.00180,0.00001,-0.01150
2010-05-10,0.04470,0.01050,0.01230,-0.00540,0.00190,0.00001,0.02590
2010-05-11,-0.00170,0.01120,-0.00160,-0.00110,0.00030,0.00001,0.00280
2010-05-12,0.01630,0.01450,0.00150,0.00090,0.00210,0.00001,0.01290
2010-05-13,-0.01120,0.00330,-0.00330,0.00170,-0.00180,0.00001,-0.00500
2010-05-14,-0.01910,-0.00340,-0.00750,0.00390,-0.00290,0.00001,-0.01290
2010-05-17,0.00110,0.00030,-0.00590,0.00160,0.00130,0.00001,-0.00600
2010-05-18,-0.01410,-0.00310,-0.00960,0.00620,-0.00300,0.00001,-0.00860
2010-05-19,-0.00630,-0.00870,0.00040,-0.00220,0.00170,0.00001,-0.00660
2010-05-20,-0.03990,-0.01070,-0.01200,0.00510,-0.00310,0.00001,-0.01260
2010-05-21,0.01430,-0.00210,0.01570,-0.00770,0.00120,0.00001,0.01500
2010-05-24,-0.01190,0.00190,-0.00890,0.00640,-0.00070,0.00001,0.00410
2010-05-25,-0.00030,-0.00410,0.00570,-0.00510,0.00160,0.00001,0.00450
2010-05-26,-0.00350,0.00920,0.00400,-0.00280,0.00150,0.00001,0.00560
2010-05-27,0.03440,0.00830,0.01630,-0.00380,0.00720,0.00001,0.01970
2010-05-28,-0.01180,0.00040,-0.00690,0.00340,-0.00040,0.00001,-0.00320
2010-06-01,-0.01890,-0.01260,-0.01630,0.00100,-0.00300,0.00001,-0.00320
2010-06-02,0.02630,0.00270,0.00420,-0.00360,0.00000,0.00001,0.00610
2010-06-03,0.00540,0.00670,-0.00280,0.00270,-0.00260,0.00001,0.00010
